Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1413.22,1290.9,100.237,µm,Spot,Position,1,96808,
1466.76,1273.69,107.585,µm,Spot,Position,1,96810,
1420.82,1329.54,106.017,µm,Spot,Position,1,96811,
1502.65,1228.22,118.083,µm,Spot,Position,1,96812,
1516.44,1266.25,144.95,µm,Spot,Position,1,96813,
2012.41,1253.98,114.772,µm,Spot,Position,1,96814,
2036.83,1194.79,122.919,µm,Spot,Position,1,96815,
1974.25,1236,131.145,µm,Spot,Position,1,96816,
2019.98,1333.11,146.564,µm,Spot,Position,1,96817,
1996.42,1331.74,155.817,µm,Spot,Position,1,96818,
1951.22,1321.28,170.455,µm,Spot,Position,1,96819,
-471.248,1375.64,129.811,µm,Spot,Position,1,96821,
-483.894,1416.46,134.251,µm,Spot,Position,1,96822,
-603.041,1428.24,140.324,µm,Spot,Position,1,96823,
-437.399,1380.67,92.7977,µm,Spot,Position,1,96824,
-415.158,1404.37,114.842,µm,Spot,Position,1,96826,
-374.057,1443.29,140.26,µm,Spot,Position,1,96827,
-345.881,1430.35,153.652,µm,Spot,Position,1,96828,
-437,1426.86,160.197,µm,Spot,Position,1,96829,
-209.217,1335.3,173.948,µm,Spot,Position,1,96833,
9.98564,1456.5,155.777,µm,Spot,Position,1,96835,
1320.8,1361.32,116.929,µm,Spot,Position,1,96836,
1351.36,1367.96,125.533,µm,Spot,Position,1,96837,
1392.72,1371.56,140.65,µm,Spot,Position,1,96838,
1325.11,1336.59,165.064,µm,Spot,Position,1,96839,
1335.52,1395.18,166.023,µm,Spot,Position,1,96840,
1497.97,1358.79,88.6077,µm,Spot,Position,1,96841,
1464.04,1370.46,94.6796,µm,Spot,Position,1,96842,
1446.71,1335.32,133.588,µm,Spot,Position,1,96843,
1970.27,1373.12,98.5769,µm,Spot,Position,1,96844,
2007.81,1366.23,134.807,µm,Spot,Position,1,96845,
1957.22,1357.77,156.312,µm,Spot,Position,1,96846,
1919.86,1354.1,165.178,µm,Spot,Position,1,96847,
2007.62,1410.4,170.003,µm,Spot,Position,1,96848,
21.5274,1600.74,105.335,µm,Spot,Position,1,96851,
65.3003,1608.72,144.024,µm,Spot,Position,1,96854,
109.504,1546.23,154.861,µm,Spot,Position,1,96857,
84.0328,1580.4,155.173,µm,Spot,Position,1,96858,
1059.67,1623.15,125.295,µm,Spot,Position,1,96859,
1075.73,1624.63,138.529,µm,Spot,Position,1,96860,
1091.48,1606.12,164.441,µm,Spot,Position,1,96861,
1110.51,1622.46,102.673,µm,Spot,Position,1,96862,
1154.44,1576.28,133.723,µm,Spot,Position,1,96863,
1174.31,1525.73,138.108,µm,Spot,Position,1,96864,
1138.62,1560.72,138.504,µm,Spot,Position,1,96865,
1188.08,1566.1,144.589,µm,Spot,Position,1,96866,
1179.14,1607.87,152.79,µm,Spot,Position,1,96867,
1159,1587.25,160.87,µm,Spot,Position,1,96868,
1962.33,1505.85,165.639,µm,Spot,Position,1,96870,
-1465.56,1815.1,149.364,µm,Spot,Position,1,96874,
-1052.54,1912.97,144.998,µm,Spot,Position,1,96876,
-1010.33,1911.25,172.22,µm,Spot,Position,1,96877,
933.848,1820.34,125.105,µm,Spot,Position,1,96878,
812.333,1990.97,106.571,µm,Spot,Position,1,96879,
789.111,2021.3,122.756,µm,Spot,Position,1,96880,
869.175,2254.27,102.482,µm,Spot,Position,1,96885,
809.853,2173.21,105.309,µm,Spot,Position,1,96886,
842.856,2202.83,104.246,µm,Spot,Position,1,96887,
864.227,2239.36,118.98,µm,Spot,Position,1,96888,
891.949,2167.31,151.044,µm,Spot,Position,1,96889,
878.808,2209.59,150.306,µm,Spot,Position,1,96890,
954.155,2183.31,139.099,µm,Spot,Position,1,96891,
1161.01,2239.44,169.081,µm,Spot,Position,1,96892,
-1770.51,2403.58,125.193,µm,Spot,Position,1,96894,
-1816.92,2423.52,144.107,µm,Spot,Position,1,96895,
-1572.9,2331.81,155.782,µm,Spot,Position,1,96897,
-1607.54,2387.94,164.516,µm,Spot,Position,1,96898,
-1495.12,2417.02,159.926,µm,Spot,Position,1,96899,
-1509.75,2400.96,165.524,µm,Spot,Position,1,96900,
1347.41,2382.08,122.114,µm,Spot,Position,1,96902,
1388.54,2426.69,128.459,µm,Spot,Position,1,96903,
1303,2422.41,135.05,µm,Spot,Position,1,96904,
1306.69,2374.99,171.956,µm,Spot,Position,1,96905,
1426.54,2405.1,102.81,µm,Spot,Position,1,96906,
1468.98,2363.34,107.018,µm,Spot,Position,1,96907,
1473.54,2370.52,144.166,µm,Spot,Position,1,96908,
1465.56,2419.02,146.259,µm,Spot,Position,1,96909,
-1884.39,2460.31,160.983,µm,Spot,Position,1,96910,
-1798.83,2487.52,115.178,µm,Spot,Position,1,96911,
-1766.47,2480.04,121.793,µm,Spot,Position,1,96912,
-1849.92,2468.9,127.646,µm,Spot,Position,1,96913,
-1742.03,2510.73,127.779,µm,Spot,Position,1,96914,
-1826.43,2463.08,145.058,µm,Spot,Position,1,96915,
-1777.65,2535.2,146.001,µm,Spot,Position,1,96916,
-1831.05,2496.14,148.597,µm,Spot,Position,1,96917,
-1764.79,2515.75,152.772,µm,Spot,Position,1,96918,
-1791.59,2534.65,153.82,µm,Spot,Position,1,96919,
-1855.67,2472.4,159.978,µm,Spot,Position,1,96920,
-1871.99,2490.1,161.304,µm,Spot,Position,1,96921,
-1830.58,2524.51,161.558,µm,Spot,Position,1,96922,
-1783.04,2489.92,165.865,µm,Spot,Position,1,96923,
-1763.78,2568.1,172.623,µm,Spot,Position,1,96924,
-1619.56,2553.39,88.9418,µm,Spot,Position,1,96925,
-1575.84,2580.3,91.0824,µm,Spot,Position,1,96926,
-1667.17,2465.35,112.182,µm,Spot,Position,1,96927,
-1589.51,2475.63,109.508,µm,Spot,Position,1,96928,
-1644.5,2510.7,111.308,µm,Spot,Position,1,96929,
-1574.39,2521.96,123.297,µm,Spot,Position,1,96930,
-1623.33,2555,128.14,µm,Spot,Position,1,96931,
-1647.91,2455.26,131.732,µm,Spot,Position,1,96932,
-1714.68,2549.97,131.815,µm,Spot,Position,1,96933,
